"TF","gene_type","importance"
"acj6","NP",52.890783060059
"ap","NP",101.430477123246
"CG12116","NP",120.563251410153
"Drgx","NP",41.5339010052075
"Ets98B","NP",53.5570316458163
"hbn","NP",65.3835962128661
"mino","NP",63.6428129128265
"Odc1","NP",59.0038971929385
"pdm3","NP",48.6717191532805
"pros","NP",41.6339155490517
"sd","NP",79.1461242466843
"sim","NP",122.879837271213
"sm","NP",56.8067123155807
"Sox102F","NP",107.703364836992
"srp","NP",74.9479278622397
"sug","NP",74.3597981697465
"svp","NP",86.4461898703636
"teq","NP",77.1032575018623
"toe","NP",57.7544746752664
"UGP","NP",60.3965709198932
"Antp","NPR",65.8742551761295
"ap","NPR",99.3909450779919
"ara","NPR",59.3146440932532
"bin","NPR",45.7246049830049
"bol","NPR",58.1737371282199
"bru3","NPR",78.7689716452719
"byn","NPR",71.2138860195142
"Cat","NPR",45.2138827754138
"Ccn","NPR",51.4873555368193
"CG12116","NPR",69.5109608398561
"CG42741","NPR",89.833492304099
"CG44422","NPR",46.6778216127918
"cnc","NPR",60.7512342628323
"ct","NPR",121.589528938421
"disco-r","NPR",65.5468450226893
"Drgx","NPR",91.290981088269
"dve","NPR",44.4878520983676
"Eip93F","NPR",137.313724142082
"en","NPR",89.2473971852507
"foxo","NPR",99.8387193694246
"fus","NPR",153.171750241434
"grh","NPR",60.7355976047536
"hth","NPR",93.9120686539513
"inv","NPR",94.3313993957091
"luna","NPR",50.812261125264
"mino","NPR",44.4015457558877
"Mp20","NPR",42.3279954844338
"org-1","NPR",87.075491591133
"Rbfox1","NPR",50.4569678500331
"Rbp6","NPR",46.8494973299213
"retn","NPR",49.2039971535486
"salm","NPR",41.234787271236
"scro","NPR",58.279508079899
"sens-2","NPR",40.8829670067796
"sima","NPR",78.700854731442
"Sox102F","NPR",78.4856702784057
"SoxN","NPR",62.1456209632337
"Sp1","NPR",66.3437893911366
"sqa","NPR",61.7551979469392
"srp","NPR",53.8966623497625
"ss","NPR",60.3282202198504
"Strn-Mlck","NPR",84.4973788730135
"sug","NPR",59.8680721784168
"svp","NPR",81.1927442037458
"teq","NPR",54.1645834803665
"Tet","NPR",85.588477709211
"tup","NPR",73.8578286439731
"Ubx","NPR",45.6841813595537
"Vmat","NPR",40.8306520456523
"Zasp52","NPR",42.2795105859752
"zfh2","NPR",74.6640752588933
