"TF","gene_type","importance"
"acj6","NP",74.1313998181268
"ap","NP",124.649224499329
"bru3","NP",101.451356555787
"CG12116","NP",107.040451593903
"CG42458","NP",104.503260103789
"CG44422","NP",172.389193017221
"ct","NP",226.729273405016
"Drgx","NP",116.774085185665
"ey","NP",188.124946238163
"fus","NP",64.3360881217161
"Hr38","NP",91.9361788513119
"Hr51","NP",81.9980535446543
"Lim3","NP",63.2981663211849
"orb","NP",97.7648002548501
"Poxn","NP",122.986109551603
"pros","NP",70.9313944558261
"Rbp6","NP",72.9899795393665
"retn","NP",130.805677428661
"RpL6","NP",92.3623242226787
"RpS4","NP",81.7487018349293
"Rx","NP",69.7646979661761
"scro","NP",243.892837978867
"shep","NP",69.005048227794
"Six4","NP",67.1912558106098
"Sox21b","NP",70.7084708824099
"sv","NP",319.02231844168
"Awh","NPR",157.884321700798
"bi","NPR",88.8384054176165
"bru3","NPR",77.7094400346005
"bsh","NPR",153.047486593371
"CG16779","NPR",72.2169782822867
"CG44422","NPR",95.4536604972874
"cnc","NPR",103.404220158023
"ct","NPR",92.8177600001631
"Dfd","NPR",79.5798912297558
"Drgx","NPR",67.3336480058662
"dve","NPR",97.1507811204794
"Eip93F","NPR",102.064099352798
"erm","NPR",120.649944959216
"fus","NPR",127.07609141122
"grh","NPR",62.8622519391733
"grn","NPR",137.986784335193
"hbn","NPR",71.7942960668297
"Lim3","NPR",62.7459394455078
"luna","NPR",72.0759522742232
"NFAT","NPR",73.2161973046689
"orb","NPR",159.833579324651
"pan","NPR",112.435145663441
"pdm3","NPR",85.5184608075939
"pros","NPR",73.605922978648
"Rbfox1","NPR",84.2055169512521
"Rbp6","NPR",117.250317834215
"scro","NPR",148.272074744343
"shep","NPR",78.4483687751995
"ss","NPR",95.4407288636214
"sv","NPR",98.7979990637286
"Vsx2","NPR",71.8711798891229
"zfh1","NPR",70.1384238896531
"zfh2","NPR",115.987922476473
