"TF","gene_type","importance"
"acj6","NP",41.8883435959075
"ap","NP",59.3170337580302
"bru3","NP",41.8709917130002
"CG10348","NP",78.7139730261032
"CG12116","NP",62.9821034149537
"CG31988","NP",47.478091190091
"CG43347","NP",47.3560157584335
"dati","NP",42.0996230854104
"dimm","NP",38.1639050366801
"Dll","NP",77.6523791694691
"Drgx","NP",44.9185062403027
"Eip75B","NP",81.3013229162545
"Eip93F","NP",64.8205019293281
"fus","NP",81.7628136001012
"hbn","NP",42.7519471791348
"mino","NP",36.0395791371786
"nSyb","NP",39.7047639138693
"Odc1","NP",40.9658736722055
"onecut","NP",39.8028399466581
"pdm3","NP",119.422939038489
"prd","NP",62.7737860042976
"pros","NP",53.5284602556005
"sd","NP",161.586426003215
"sim","NP",66.0360688454152
"sm","NP",55.0541314137454
"Sox102F","NP",46.1060398320176
"srp","NP",71.9718600706232
"sug","NP",70.5966203985922
"svp","NP",53.0333549614474
"teq","NP",57.0625573440056
"toe","NP",92.3466237016262
"trv","NP",37.4075102856504
"Antp","NPR",74.4099216767013
"bin","NPR",72.2537055646511
"bol","NPR",78.396134747626
"bru3","NPR",121.032602843366
"byn","NPR",79.1016178341765
"Ccn","NPR",73.8804332950317
"CG12116","NPR",66.4881185919004
"CG44422","NPR",108.763679993428
"CG5953","NPR",66.0297162341379
"cnc","NPR",76.9527009412306
"ct","NPR",116.701167126389
"disco-r","NPR",108.557255563787
"Drgx","NPR",207.443292281674
"foxo","NPR",82.0231452512128
"fus","NPR",303.479628036863
"grh","NPR",61.0704204718722
"hth","NPR",252.258553420843
"klu","NPR",59.986349160479
"org-1","NPR",184.127675648802
"pdm3","NPR",60.7468183786521
"pros","NPR",57.6635423645993
"Rbp6","NPR",71.9601129820446
"sens-2","NPR",89.5527339423916
"sim","NPR",79.2144765106475
"sima","NPR",64.1025155005758
"sqa","NPR",106.086152858122
"srp","NPR",58.3254886154043
"ss","NPR",104.463477172715
"Strn-Mlck","NPR",103.735826515891
"sug","NPR",64.4593909505028
"trv","NPR",73.3876982703807
"Vmat","NPR",83.1148429607863
"Zasp52","NPR",103.939978531333
