TF,gene_type,importance
ap,NP,114.0007629
CG12116,NP,83.16309597
dimm,NP,34.32888393
Dll,NP,56.64320082
Drgx,NP,45.19227908
Eip71CD,NP,34.19821762
Eip93F,NP,35.04554629
grh,NP,54.16236597
hbn,NP,82.61021343
HGTX,NP,116.4148584
HLH4C,NP,32.83873409
hth,NP,33.35742526
larp,NP,81.18862451
mamo,NP,70.53547779
mino,NP,63.6300264
mirr,NP,55.75781868
Odc1,NP,40.34282144
pdm3,NP,49.51931484
peb,NP,95.13227561
Poxn,NP,31.27847517
pros,NP,36.03784611
schlank,NP,57.10772272
sd,NP,108.4091867
sim,NP,191.7925172
sm,NP,145.0969882
Sox102F,NP,48.41410354
srp,NP,54.94604013
sug,NP,68.01209762
sv,NP,44.05033159
svp,NP,68.03539772
tap,NP,94.03924272
teq,NP,78.77664232
toe,NP,34.34589009
UGP,NP,38.32220859
Antp,NPR,54.13099031
ap,NPR,98.92655082
bol,NPR,71.0747545
bru3,NPR,85.15654493
bs,NPR,61.9151252
byn,NPR,87.79480734
CG12116,NPR,75.12562389
CG42741,NPR,122.0800959
cnc,NPR,117.0105995
ct,NPR,167.8456067
dar1,NPR,90.47368652
disco-r,NPR,58.01812983
Drgx,NPR,72.1710439
dve,NPR,65.85496893
Eip93F,NPR,178.0349759
foxo,NPR,70.37362917
fus,NPR,174.3997159
grh,NPR,63.25999977
hbn,NPR,64.77296471
hth,NPR,54.4335584
lz,NPR,72.12426704
org-1,NPR,124.3183865
Rbfox1,NPR,56.11155159
retn,NPR,90.64818315
scro,NPR,73.35100004
sima,NPR,75.69565575
Sox21a,NPR,72.86397581
SoxN,NPR,97.97366054
Sp1,NPR,62.60412721
sqa,NPR,74.63142468
ss,NPR,81.88841096
Strn-Mlck,NPR,110.3217533
sug,NPR,63.62666748
svp,NPR,84.25219753
teq,NPR,78.35033169
Tet,NPR,61.31978578
tup,NPR,71.60376866
