"TF","gene_type","importance"
"acj6","NP",55.4246845500913
"ap","NP",76.0610720611749
"Awh","NP",95.6383532374965
"bru3","NP",83.2440726577375
"Ccn","NP",45.1459097350165
"CG12116","NP",73.5407036937217
"CG16779","NP",47.9718918504228
"CG42458","NP",47.1488875001419
"CG44422","NP",97.6404944572211
"ct","NP",156.936390550926
"dimm","NP",42.5255827466863
"disco","NP",37.8922243596839
"Doa","NP",46.0926087611311
"Drgx","NP",38.2188040996795
"ey","NP",127.184570740577
"gl","NP",39.13683504532
"hbn","NP",52.4528795392201
"Hr51","NP",66.0059682946738
"kn","NP",47.406637604854
"Lim3","NP",66.3466765838143
"mamo","NP",62.2039257717805
"oc","NP",42.4789597902892
"orb","NP",209.027257075365
"pan","NP",58.7651620567073
"pdm3","NP",56.2746451066187
"Poxn","NP",88.7157891357173
"pros","NP",50.2353722512557
"Rbp6","NP",73.4065871492345
"scro","NP",189.000835873256
"shep","NP",65.628506355222
"Six4","NP",35.9829666211359
"srp","NP",54.9567221340847
"sug","NP",51.2185357071042
"sv","NP",82.4925360299139
"teq","NP",53.6761790641373
"trv","NP",45.0244855765626
"Vmat","NP",38.9363997548167
"Awh","NPR",67.1244939652868
"bru3","NPR",89.3353519252606
"bsh","NPR",52.3154889152886
"CG12116","NPR",64.6999302107351
"CG44422","NPR",107.10841121333
"cnc","NPR",76.8114958118994
"ct","NPR",77.2331553710834
"Dfd","NPR",55.8939752442367
"dve","NPR",83.144652717965
"Eip93F","NPR",126.510531674658
"erm","NPR",83.6319756493157
"foxo","NPR",75.9998772900088
"fus","NPR",107.658373255
"grh","NPR",103.109718987671
"grn","NPR",112.521057286523
"hbn","NPR",61.049315463517
"knrl","NPR",52.3006686375148
"NFAT","NPR",70.9586858908577
"orb","NPR",123.760964097649
"pan","NPR",69.9280591054278
"pdm3","NPR",64.0716094064559
"Rbfox1","NPR",61.5316302485159
"Rbp6","NPR",78.2459271252769
"rib","NPR",53.2299441902866
"scro","NPR",92.9528125672042
"SoxN","NPR",69.75698041902
"srp","NPR",71.8923836818195
"ss","NPR",51.4769073747133
"Strn-Mlck","NPR",86.8380454393734
"sug","NPR",51.8519674179084
"Zasp52","NPR",84.4168871244896
"zfh1","NPR",51.5664870781743
"zfh2","NPR",70.8562708503269
