TF,gene_type,importance
acj6,NP,61.6131726
ap,NP,124.6492245
Awh,NP,49.7824337
bru3,NP,101.4513566
CG12116,NP,107.0404516
CG16779,NP,55.12119196
CG42458,NP,104.5032601
CG44422,NP,172.389193
ct,NP,140.90267
dimm,NP,59.12004939
Doa,NP,52.86228021
Drgx,NP,116.7740852
Ets98B,NP,55.98249339
ey,NP,188.1249462
fus,NP,64.33608812
gl,NP,55.1100658
Hr38,NP,91.93617885
Hr51,NP,81.99805354
kn,NP,55.6427961
Lim3,NP,62.1538657
orb,NP,97.76480025
pan,NP,50.56114676
Poxn,NP,122.9861096
pros,NP,70.93139446
Rbp6,NP,61.56120279
retn,NP,130.8056774
RpL6,NP,92.36232422
RpS10b,NP,50.00506166
RpS4,NP,81.74870183
Rx,NP,69.76469797
scro,NP,243.892838
shep,NP,69.00504823
Six4,NP,67.19125581
Sox21b,NP,70.70847088
SoxN,NP,58.53563233
sr,NP,56.70614468
sv,NP,319.0223184
tim,NP,52.11874431
trv,NP,53.21855946
Awh,NPR,157.8843217
bi,NPR,88.83840542
bru3,NPR,87.17497958
bsh,NPR,153.0474866
CG16779,NPR,76.87861658
CG44422,NPR,100.0692253
cnc,NPR,103.4042202
ct,NPR,92.81776
Dfd,NPR,79.57989123
dve,NPR,97.15078112
Eip93F,NPR,102.0640994
erm,NPR,120.649945
fus,NPR,127.0760914
grn,NPR,137.9867843
NFAT,NPR,73.2161973
orb,NPR,159.8335793
pan,NPR,112.4351457
pdm3,NPR,85.51846081
pros,NPR,73.60592298
Rbfox1,NPR,84.20551695
Rbp6,NPR,117.2503178
scro,NPR,148.2720747
shep,NPR,85.26312715
ss,NPR,95.44072886
sv,NPR,98.79799906
zfh2,NPR,115.9879225
